Country Code,Parent Code,Country,Continent,Region,Sub-Region,Population 2010,Estimate Population 2020
24,911,Angola,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,23356247,32866268
204,914,Benin,AFRICA,SUB-SAHARAN AFRICA,Western Africa,9199254,12123198
72,913,Botswana,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,1987106,2351625
854,914,Burkina Faso,AFRICA,SUB-SAHARAN AFRICA,Western Africa,15605211,20903278
108,910,Burundi,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,8675606,11890781
132,914,Cabo Verde,AFRICA,SUB-SAHARAN AFRICA,Western Africa,492644,555988
120,911,Cameroon,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,20341236,26545864
140,911,Central African Republic,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,4386765,4829764
148,911,Chad,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,11952134,16425859
178,911,Congo (Brazzaville),AFRICA,SUB-SAHARAN AFRICA,Middle Africa,4273738,5518092
180,911,Congo (Kinshasa),AFRICA,SUB-SAHARAN AFRICA,Middle Africa,64563853,89561404
384,914,Cote d'Ivoire,AFRICA,SUB-SAHARAN AFRICA,Western Africa,20532944,26378275
262,910,Djibouti,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,840194,988002
226,911,Equatorial Guinea,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,943640,1402985
232,910,Eritrea,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,3170437,3546427
748,913,Eswatini,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,1064841,1160164
231,910,Ethiopia,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,87639962,114963583
266,911,Gabon,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,1624146,2225728
270,914,Gambia,AFRICA,SUB-SAHARAN AFRICA,Western Africa,1793199,2416664
288,914,Ghana,AFRICA,SUB-SAHARAN AFRICA,Western Africa,24779614,31072945
324,914,Guinea,AFRICA,SUB-SAHARAN AFRICA,Western Africa,10192168,13132792
624,914,Guinea-Bissau,AFRICA,SUB-SAHARAN AFRICA,Western Africa,1522603,1967998
404,910,Kenya,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,42030684,53771300
430,914,Liberia,AFRICA,SUB-SAHARAN AFRICA,Western Africa,3891357,5057677
450,910,Madagascar,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,21151640,27691019
454,910,Malawi,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,14539609,19129955
466,914,Mali,AFRICA,SUB-SAHARAN AFRICA,Western Africa,15049352,20250834
478,914,Mauritania,AFRICA,SUB-SAHARAN AFRICA,Western Africa,3494200,4649660
480,910,Mauritius,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,1247953,1271767
508,910,Mozambique,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,23531567,31255435
516,913,Namibia,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,2118877,2540916
562,914,Niger,AFRICA,SUB-SAHARAN AFRICA,Western Africa,16464025,24206636
566,914,Nigeria,AFRICA,SUB-SAHARAN AFRICA,Western Africa,158503203,206139587
646,910,Rwanda,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,10039338,12952209
678,911,Sao Tome and Principe,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,180372,219161
686,914,Senegal,AFRICA,SUB-SAHARAN AFRICA,Western Africa,12678143,16743930
690,910,Seychelles,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,91273,98340
694,914,Sierra Leone,AFRICA,SUB-SAHARAN AFRICA,Western Africa,6415636,7976985
706,910,Somalia,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,12043886,15893219
710,913,South Africa,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,51216967,59308690
728,910,South Sudan,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,9508372,11193729
834,910,Tanzania,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,44346532,59734213
768,914,Togo,AFRICA,SUB-SAHARAN AFRICA,Western Africa,6421674,8278737
